adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,media_type
False,/7Zx3wDG5bBtcfk8lcnCWDOLM4Y4.jpg,"[10751, 35, 878]",552524,en,Lilo & Stitch,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,610.335,/3bN675X0K2E5QiAZVChzB5wq90B.jpg,2025-05-17,Lilo & Stitch,False,7.149,352,
False,/2Nti3gYAX513wvhp8IiLL6ZDyOm.jpg,"[10751, 35, 12, 14]",950387,en,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",453.1896,/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg,2025-03-31,A Minecraft Movie,False,6.496,1568,
False,/uIpJPDNFoeX0TVml9smPrs9KUVx.jpg,"[27, 9648]",574475,en,Final Destination Bloodlines,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",354.6266,/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg,2025-05-14,Final Destination Bloodlines,False,7.011,518,
False,/4MNRH73XmwBK2ycv3qvLpa07O5F.jpg,"[28, 18]",1257960,hi,सिकंदर,A tragic accident pushes the powerful Sikandar to protect the less fortunate by standing up to corruption and greed — using any means necessary.,394.8384,/t48miSSfe7COqgbgMyRIyPVTBoM.jpg,2025-03-29,Sikandar,False,4.967,30,
False,/fTrQsdMS2MUw00RnzH0r3JWHhts.jpg,"[28, 80, 53]",1197306,en,A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",318.3291,/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg,2025-03-26,A Working Man,False,6.67,1078,
False,/icFWIk1KfkWLZnugZAJEDauNZ94.jpg,"[27, 9648]",1232546,en,Until Dawn,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening.",265.4959,/juA4IWO52Fecx8lhAsxmDgy3M3.jpg,2025-04-23,Until Dawn,False,6.513,516,
False,/3VkPqpjKikQg2M2n6xgTfR9xr7E.jpg,"[28, 12, 53]",575265,en,Mission: Impossible - The Final Reckoning,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",282.3707,/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg,2025-05-17,Mission: Impossible - The Final Reckoning,False,7.1,488,
False,/aESb695wTIF0tB7RTGRebnYrjFK.jpg,"[12, 14, 9648]",1098006,en,Fountain of Youth,"A treasure-hunting mastermind assembles a team for a life-changing adventure. But to outwit and outrun threats at every turn, he'll need someone even smarter than he is: his estranged sister.",181.8365,/4iWjGghUj2uyHo2Hyw8NFBvsNGm.jpg,2025-05-19,Fountain of Youth,False,6.462,339,
False,/qspghhpOyaBGgZDJoCbV2o9WNMU.jpg,"[27, 9648]",1001414,en,Fear Street: Prom Queen,"Who will be voted queen at Shadyside High's 1988 prom? For underdog Lori, competition is cutthroat even before someone starts killing off the candidates.",178.3316,/gevScWYkF8l5i9NjFSXo8HfPNyy.jpg,2025-05-23,Fear Street: Prom Queen,False,5.392,231,
False,/wIZ6cPH9lGC03gM0U6Es05afcSZ.jpg,"[27, 53]",1233413,en,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",205.1203,/zrYk9fEhhnNTptnhFeyyFIUBu5d.jpg,2025-04-16,Sinners,False,7.499,902,
False,/cJvUJEEQ86LSjl4gFLkYpdCJC96.jpg,"[10752, 28]",1241436,en,Warfare,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",181.6846,/srj9rYrjefyWqkLc6l2xjTGeBGO.jpg,2025-04-09,Warfare,False,7.3,463,
False,/aIglP9Z5gtkQf7Fidb4NRv2gfDj.jpg,"[16, 10751, 35]",11544,en,Lilo & Stitch,"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and ʻohana, the Hawaiian tradition of family.",182.4251,/m13Vbzv7R2GMAl3GXFrkmMEgCFQ.jpg,2002-06-21,Lilo & Stitch,False,7.547,6554,
False,/tyfO9jHgkhypUFizRVYD0bytPjP.jpg,"[10751, 14]",447273,en,Snow White,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",171.3587,/oLxWocqheC8XbXbxqJ3x422j9PW.jpg,2025-03-12,Snow White,False,4.296,984,
False,/dJ1JpHuTCRxtGpRq8bQzk2jBqTi.jpg,"[10751, 14, 12]",896536,en,The Legend of Ochi,"In a remote village on the island of Carpathia, a shy farm girl named Yuri is raised to fear an elusive animal species known as ochi. But when Yuri discovers a wounded baby ochi has been left behind, she escapes on a quest to bring him home.",148.8796,/wVujUVvY4qvKARAslItQ4ARKqtz.jpg,2025-04-18,The Legend of Ochi,False,6.273,99,
False,/d5aBTObiUzqGZMohXtQKY4FMGvb.jpg,[27],1297028,en,Rosario,"Wall Street stockbroker Rosario Fuentes returns to her grandmother's apartment after her sudden death. While sorting through her belongings, Rosario discovers a hidden chamber that's filled with occult artifacts tied to dark generational rituals. As supernatural occurrences begin to plague her, she must confront her family's buried secrets and face the truth about the sacrifices and choices they made.",136.7985,/h91QHXPCb96x2J5mahqyW8QZay2.jpg,2025-05-01,Rosario,False,4.852,27,
False,/8eifdha9GQeZAkexgtD45546XKx.jpg,"[28, 53, 878]",822119,en,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",158.5668,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,2025-02-12,Captain America: Brave New World,False,6.082,2007,
